epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60575,3.94418,3.68004,2.04778,0.0025,0.02459,0.0013,0.0003,4.02557,3.46258,1.75574,0,0,0
2,16.3465,3.83391,3.69407,1.97474,0.0025,0.02459,0.00129,0.00043,4.03009,3.46124,1.74965,1.9604e-05,1.9604e-05,1.9604e-05
3,22.9402,4.02076,3.72326,2.10963,0.00417,0.04098,0.00219,0.00043,3.95458,3.44351,1.71129,3.8416e-05,3.8416e-05,3.8416e-05
4,28.9135,3.6431,3.65001,1.89747,0.00667,0.06557,0.00356,0.00053,3.8232,3.42549,1.64652,5.6436e-05,5.6436e-05,5.6436e-05
5,35.0737,3.62239,3.62984,1.95844,0.01833,0.18033,0.01123,0.00172,3.64654,3.40541,1.5715,7.3664e-05,7.3664e-05,7.3664e-05
6,41.4108,3.5132,3.60793,1.86841,0.03083,0.30328,0.0226,0.00412,3.40366,3.40433,1.49668,9.01e-05,9.01e-05,9.01e-05
7,47.4672,3.57338,3.57133,1.82919,0.0425,0.41803,0.03376,0.00825,3.1129,3.39425,1.41024,0.000105744,0.000105744,0.000105744
8,53.6686,2.8482,3.45484,1.49633,0.06167,0.60656,0.05625,0.01629,2.76754,3.3973,1.31565,0.000120596,0.000120596,0.000120596
9,59.3485,2.6609,3.41937,1.57291,0.07083,0.69672,0.06765,0.02504,2.36414,3.39177,1.21388,0.000134656,0.000134656,0.000134656
10,65.4045,2.46007,3.34864,1.47799,0.07583,0.7459,0.07784,0.0344,1.98529,3.39301,1.12206,0.000147924,0.000147924,0.000147924
11,71.5342,2.17779,3.22424,1.29234,0.07583,0.7459,0.07743,0.03499,1.72175,3.4037,1.06932,0.0001604,0.0001604,0.0001604
12,77.6643,2.27015,3.19292,1.36032,0.07,0.68852,0.07136,0.03247,1.5457,3.41699,1.04189,0.000172084,0.000172084,0.000172084
13,83.6652,1.90249,3.12115,1.34857,0.06583,0.64754,0.06156,0.03025,1.4086,3.40683,1.01545,0.000182976,0.000182976,0.000182976
14,89.7637,2.19243,3.05217,1.27222,0.06167,0.60656,0.05602,0.0274,1.35838,3.39717,1.00662,0.000193076,0.000193076,0.000193076
15,96.1198,2.12966,2.93361,1.254,0.05833,0.57377,0.05416,0.02439,1.33991,3.38857,1.00345,0.000202384,0.000202384,0.000202384
16,101.799,1.74924,2.93143,1.2792,0.05333,0.52459,0.04954,0.02303,1.33058,3.35836,0.99925,0.0002109,0.0002109,0.0002109
17,107.927,1.88338,2.73604,1.33932,0.055,0.54098,0.04975,0.02418,1.33216,3.31941,0.99667,0.000218624,0.000218624,0.000218624
18,114.346,2.43483,2.68587,1.20688,0.055,0.54098,0.04975,0.02418,1.33216,3.31941,0.99667,0.000225556,0.000225556,0.000225556
19,120.271,1.68711,2.60165,1.14868,0.06167,0.60656,0.06939,0.02977,1.34204,3.26618,0.9915,0.000231696,0.000231696,0.000231696
20,126.423,1.59502,2.47343,1.16081,0.06167,0.60656,0.06939,0.02977,1.34204,3.26618,0.9915,0.000237044,0.000237044,0.000237044
21,132.666,2.2103,2.61321,1.2205,0.06833,0.67213,0.12481,0.04938,1.33856,3.22052,0.98672,0.0002416,0.0002416,0.0002416
22,138.802,1.5994,2.35855,1.1268,0.06833,0.67213,0.12481,0.04938,1.33856,3.22052,0.98672,0.000245364,0.000245364,0.000245364
23,144.943,1.68646,2.45805,1.12088,0.0675,0.66393,0.15312,0.05825,1.33909,3.17088,0.98824,0.000248336,0.000248336,0.000248336
24,151.335,1.9161,2.36526,1.17391,0.0675,0.66393,0.15312,0.05825,1.33909,3.17088,0.98824,0.000250516,0.000250516,0.000250516
25,157.625,2.15773,2.21669,1.13683,0.0775,0.7623,0.17076,0.06651,1.34992,3.11475,0.99348,0.000251904,0.000251904,0.000251904
26,163.766,1.70791,2.46062,1.19945,0.0775,0.7623,0.17076,0.06651,1.34992,3.11475,0.99348,0.0002525,0.0002525,0.0002525
27,170.316,1.6885,2.30204,1.10383,0.08083,0.79508,0.16752,0.07142,1.35981,3.05601,0.99933,0.000252304,0.000252304,0.000252304
28,176.628,1.85658,2.3633,1.08557,0.08083,0.79508,0.16752,0.07142,1.35981,3.05601,0.99933,0.000251316,0.000251316,0.000251316
29,182.485,1.74694,2.19185,1.20556,0.09333,0.91803,0.17768,0.08793,1.39966,3.01288,1.01563,0.000249536,0.000249536,0.000249536
30,188.932,1.64374,2.15946,1.09075,0.09333,0.91803,0.17768,0.08793,1.39966,3.01288,1.01563,0.000246964,0.000246964,0.000246964
31,195.062,1.53647,2.19643,1.0997,0.09583,0.94262,0.1746,0.09448,1.43981,2.98444,1.03821,0.0002436,0.0002436,0.0002436
32,201.269,1.70963,2.24343,1.06784,0.09583,0.94262,0.1746,0.09448,1.43981,2.98444,1.03821,0.000239444,0.000239444,0.000239444
33,207.397,1.62113,2.26755,1.08995,0.09583,0.94262,0.17187,0.0905,1.50569,2.97705,1.06602,0.000234496,0.000234496,0.000234496
34,213.44,1.65552,2.11995,1.02909,0.09583,0.94262,0.17187,0.0905,1.50569,2.97705,1.06602,0.000228756,0.000228756,0.000228756
35,220.766,1.65891,2.08174,1.06635,0.09333,0.91803,0.15182,0.07503,1.58751,2.99782,1.10614,0.000222224,0.000222224,0.000222224
36,226.98,1.75191,1.91509,1.05465,0.09333,0.91803,0.15182,0.07503,1.58751,2.99782,1.10614,0.0002149,0.0002149,0.0002149
37,233.138,1.62688,2.06648,1.02455,0.09417,0.92623,0.16102,0.06726,1.66041,2.99581,1.1358,0.000206784,0.000206784,0.000206784
38,239.12,1.56001,2.16659,1.05462,0.09417,0.92623,0.16102,0.06726,1.66041,2.99581,1.1358,0.000197876,0.000197876,0.000197876
39,245.946,1.5853,1.98362,1.04868,0.09583,0.94262,0.16935,0.0633,1.73347,2.986,1.16145,0.000188176,0.000188176,0.000188176
40,252.293,1.6486,2.08642,1.03027,0.09583,0.94262,0.16935,0.0633,1.73347,2.986,1.16145,0.000177684,0.000177684,0.000177684
41,258.347,1.79482,2.03962,1.09281,0.095,0.93443,0.17509,0.06493,1.7935,2.96546,1.17807,0.0001664,0.0001664,0.0001664
42,264.379,1.53987,1.94695,1.08037,0.095,0.93443,0.17509,0.06493,1.7935,2.96546,1.17807,0.000154324,0.000154324,0.000154324
43,270.341,1.6149,1.89365,1.06229,0.095,0.93443,0.17827,0.06964,1.8456,2.92801,1.19013,0.000141456,0.000141456,0.000141456
44,276.211,1.53472,1.91002,1.03901,0.095,0.93443,0.17827,0.06964,1.8456,2.92801,1.19013,0.000127796,0.000127796,0.000127796
45,282.374,1.70512,1.91516,1.06201,0.09667,0.95082,0.18312,0.07786,1.84833,2.86532,1.18584,0.000113344,0.000113344,0.000113344
46,288.151,1.52858,1.89253,1.06548,0.09667,0.95082,0.18312,0.07786,1.84833,2.86532,1.18584,9.81e-05,9.81e-05,9.81e-05
47,293.652,1.43059,1.93441,1.0379,0.09667,0.95082,0.18186,0.08317,1.81759,2.7973,1.16868,8.2064e-05,8.2064e-05,8.2064e-05
48,299.36,1.54416,1.88798,1.06111,0.09667,0.95082,0.18186,0.08317,1.81759,2.7973,1.16868,6.5236e-05,6.5236e-05,6.5236e-05
49,305.716,1.41436,1.80205,0.95809,0.0975,0.95902,0.18444,0.08971,1.78369,2.73459,1.15354,4.7616e-05,4.7616e-05,4.7616e-05
50,311.757,1.43658,1.87729,1.05779,0.0975,0.95902,0.18444,0.08971,1.78369,2.73459,1.15354,2.9204e-05,2.9204e-05,2.9204e-05
