epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7111,4.34829,4.00583,2.95677,0,0,0,0,3.97182,4.09652,2.24693,0,0,0
2,52.7195,4.0887,4.04748,2.84286,0,0,0,0,3.93884,4.09473,2.22715,1.40071e-05,1.40071e-05,1.40071e-05
3,65.1112,4.32175,4.00941,2.96045,0,0,0,0,3.88232,4.08349,2.18802,2.74482e-05,2.74482e-05,2.74482e-05
4,76.1138,4.16508,3.96958,2.91482,0,0,0,0,3.75676,4.07327,2.11876,4.03235e-05,4.03235e-05,4.03235e-05
5,87.633,4.07545,3.96173,2.72999,0,0,0,0,3.6346,4.04737,2.0278,5.26329e-05,5.26329e-05,5.26329e-05
6,98.4202,3.89481,3.93662,2.50519,0,0,0,0,3.47716,3.99264,1.89928,6.43764e-05,6.43764e-05,6.43764e-05
7,108.744,3.79139,3.9125,2.28837,0.00282,0.03704,0.00486,0.0012,3.23297,3.90211,1.7779,7.55541e-05,7.55541e-05,7.55541e-05
8,119.665,3.47387,3.82587,2.30066,0.01521,0.2037,0.07804,0.01758,2.88767,3.78193,1.64555,8.61658e-05,8.61658e-05,8.61658e-05
9,131.36,3.09886,3.76637,2.02292,0.02032,0.25,0.13346,0.04086,2.61161,3.71303,1.53816,9.62117e-05,9.62117e-05,9.62117e-05
10,142.374,2.95521,3.70653,1.96802,0.01951,0.22222,0.12698,0.04495,2.4137,3.68966,1.45899,0.000105692,0.000105692,0.000105692
11,152.67,2.66662,3.65308,1.71387,0.01961,0.21296,0.12156,0.04061,2.3014,3.71997,1.40361,0.000114606,0.000114606,0.000114606
12,162.865,2.44921,3.59292,1.70086,0.02078,0.23148,0.15595,0.04011,2.09599,3.74412,1.33406,0.000122954,0.000122954,0.000122954
13,174.51,2.34314,3.48234,1.57484,0.02126,0.25926,0.19612,0.04747,1.85221,3.76209,1.2562,0.000130736,0.000130736,0.000130736
14,186.667,2.07669,3.47401,1.51376,0.02331,0.27778,0.24138,0.08366,1.63442,3.74826,1.18999,0.000137953,0.000137953,0.000137953
15,198.798,1.99468,3.38445,1.45929,0.02414,0.28704,0.26897,0.117,1.49086,3.69922,1.14855,0.000144603,0.000144603,0.000144603
16,209.546,1.89511,3.27889,1.44272,0.02604,0.30977,0.29131,0.13665,1.43036,3.64991,1.12393,0.000150688,0.000150688,0.000150688
17,220.917,1.84961,3.18099,1.38246,0.0264,0.32407,0.3067,0.1397,1.39754,3.60039,1.10394,0.000156207,0.000156207,0.000156207
